nohup: ignoring input
Loading files from: ../data/training_set/*/*.jpg
Image Shape: (256, 256, 3) | Generator Latent Dimension: 300 | Discriminator Latent Dimension: 200
WARNING:tensorflow:No training configuration found in save file, so the model was *not* compiled. Compile it manually.
Starting Training:
9801,0.110,0.718,1.141,13,
9802,0.116,0.753,1.748,15,
9803,0.119,0.732,0.626,17,
9804,0.119,0.736,0.238,19,
9805,0.118,0.727,0.664,22,
9806,0.105,0.732,0.404,24,
9807,0.110,0.748,0.347,26,
9808,0.110,0.742,0.306,28,
9809,0.122,0.788,0.423,30,
9810,0.110,0.771,0.325,32,
9811,0.123,0.745,0.400,34,
9812,0.107,0.763,0.228,37,
9813,0.117,0.753,0.379,39,
9814,0.117,0.758,0.338,41,
9815,0.114,0.735,0.123,43,
9816,0.123,0.720,0.253,45,
9817,0.110,0.755,0.302,48,
9818,0.111,0.754,0.234,50,
9819,0.117,0.768,0.271,52,
9820,0.123,0.746,0.230,54,
9821,0.130,0.733,0.207,56,
9822,0.127,0.715,0.202,59,
9823,0.123,0.735,0.305,61,
9824,0.122,0.757,0.279,63,
9825,0.134,0.702,0.170,65,
9826,0.120,0.736,0.286,67,
9827,0.120,0.764,0.197,70,
9828,0.103,0.766,0.177,72,
9829,0.115,0.731,0.283,74,
9830,0.123,0.725,0.248,76,
9831,0.121,0.715,0.243,78,
9832,0.113,0.758,0.300,81,
9833,0.115,0.747,0.281,83,
9834,0.119,0.742,0.201,85,
9835,0.123,0.752,0.299,87,
9836,0.113,0.755,0.232,90,
9837,0.122,0.724,0.176,92,
9838,0.132,0.767,0.281,94,
9839,0.118,0.729,0.247,96,
9840,0.117,0.750,0.236,99,
9841,0.110,0.744,0.151,101,
9842,0.106,0.748,0.216,103,
9843,0.130,0.737,0.197,105,
9844,0.118,0.722,0.260,108,
9845,0.116,0.690,0.187,110,
9846,0.116,0.727,0.198,112,
9847,0.120,0.734,0.188,114,
9848,0.116,0.772,0.304,117,
9849,0.120,0.689,0.244,119,
9850,0.106,0.768,0.211,121,
9851,0.121,0.737,0.205,124,
9852,0.113,0.770,0.241,126,
9853,0.128,0.696,0.267,128,
9854,0.106,0.734,0.219,130,
9855,0.117,0.768,0.230,133,
9856,0.112,0.764,0.229,135,
9857,0.119,0.770,0.225,137,
9858,0.120,0.744,0.201,140,
9859,0.108,0.793,0.228,142,
9860,0.126,0.726,0.175,144,
9861,0.113,0.734,0.210,147,
9862,0.109,0.748,0.224,149,
9863,0.128,0.739,0.193,151,
9864,0.108,0.806,0.295,153,
9865,0.122,0.697,0.217,156,
9866,0.114,0.723,0.213,158,
9867,0.119,0.766,0.285,160,
9868,0.128,0.679,0.206,163,
9869,0.124,0.769,0.220,165,
9870,0.128,0.728,0.224,167,
9871,0.123,0.746,0.152,169,
9872,0.120,0.730,0.187,172,
9873,0.118,0.760,0.187,174,
9874,0.125,0.696,0.175,176,
9875,0.106,0.760,0.282,179,
9876,0.120,0.727,0.175,181,
9877,0.109,0.772,0.265,183,
9878,0.125,0.752,0.202,185,
9879,0.113,0.783,0.299,188,
9880,0.107,0.764,0.187,190,
9881,0.112,0.755,0.285,192,
9882,0.118,0.749,0.186,195,
9883,0.114,0.710,0.240,197,
9884,0.122,0.761,0.247,199,
9885,0.121,0.749,0.164,201,
9886,0.114,0.745,0.184,204,
9887,0.113,0.722,0.174,206,
9888,0.120,0.764,0.205,208,
9889,0.119,0.762,0.227,211,
9890,0.118,0.748,0.183,213,
9891,0.126,0.754,0.244,215,
9892,0.113,0.740,0.234,217,
9893,0.131,0.765,0.186,220,
9894,0.110,0.728,0.193,222,
9895,0.131,0.729,0.133,224,
9896,0.118,0.757,0.144,227,
9897,0.137,0.737,0.174,229,
9898,0.126,0.747,0.249,231,
9899,0.128,0.754,0.154,233,
9900,0.113,0.761,0.230,236,
9901,0.113,0.715,0.216,238,
9902,0.121,0.739,0.201,240,
9903,0.125,0.736,0.207,243,
9904,0.117,0.726,0.199,245,
9905,0.113,0.748,0.190,247,
9906,0.104,0.801,0.286,249,
9907,0.127,0.703,0.210,252,
9908,0.117,0.759,0.169,254,
9909,0.115,0.732,0.224,256,
9910,0.115,0.727,0.213,259,
9911,0.113,0.771,0.224,261,
9912,0.127,0.747,0.219,263,
9913,0.120,0.773,0.231,265,
9914,0.118,0.778,0.203,268,
9915,0.118,0.767,0.272,270,
9916,0.120,0.752,0.231,272,
9917,0.126,0.754,0.148,275,
9918,0.122,0.719,0.279,277,
9919,0.115,0.766,0.158,279,
9920,0.137,0.719,0.239,281,
9921,0.117,0.741,0.187,284,
9922,0.117,0.759,0.254,286,
9923,0.116,0.755,0.173,288,
9924,0.118,0.767,0.200,291,
9925,0.106,0.729,0.258,293,
9926,0.110,0.777,0.167,295,
9927,0.124,0.718,0.283,297,
9928,0.131,0.737,0.211,300,
9929,0.123,0.740,0.179,302,
9930,0.123,0.730,0.232,304,
9931,0.113,0.728,0.219,307,
9932,0.126,0.706,0.186,309,
9933,0.107,0.743,0.230,311,
9934,0.117,0.811,0.268,313,
9935,0.127,0.732,0.176,316,
9936,0.127,0.718,0.275,318,
9937,0.128,0.734,0.235,320,
9938,0.119,0.756,0.193,323,
9939,0.132,0.753,0.296,325,
9940,0.120,0.717,0.219,327,
9941,0.114,0.742,0.200,329,
9942,0.114,0.726,0.292,332,
9943,0.119,0.691,0.204,334,
9944,0.115,0.724,0.227,336,
9945,0.112,0.757,0.213,338,
9946,0.118,0.749,0.263,341,
9947,0.118,0.733,0.186,343,
9948,0.116,0.713,0.217,345,
9949,0.118,0.740,0.263,347,
9950,0.133,0.727,0.150,350,
9951,0.117,0.742,0.194,352,
9952,0.118,0.737,0.173,354,
9953,0.112,0.757,0.217,357,
9954,0.123,0.733,0.192,359,
9955,0.120,0.732,0.191,361,
9956,0.122,0.745,0.189,363,
9957,0.129,0.736,0.197,366,
9958,0.100,0.776,0.204,368,
9959,0.104,0.763,0.199,370,
9960,0.110,0.738,0.247,373,
9961,0.124,0.731,0.228,375,
9962,0.116,0.780,0.227,377,
9963,0.108,0.785,0.167,379,
9964,0.120,0.713,0.190,382,
9965,0.120,0.769,0.212,384,
9966,0.113,0.750,0.173,386,
9967,0.119,0.734,0.190,389,
9968,0.116,0.724,0.202,391,
9969,0.115,0.795,0.220,393,
9970,0.116,0.731,0.179,396,
9971,0.112,0.759,0.175,398,
9972,0.129,0.777,0.202,400,
9973,0.114,0.699,0.165,402,
9974,0.118,0.772,0.234,405,
9975,0.110,0.749,0.174,407,
9976,0.119,0.743,0.227,409,
9977,0.118,0.715,0.232,412,
9978,0.114,0.749,0.178,414,
9979,0.111,0.766,0.222,416,
9980,0.113,0.734,0.174,418,
9981,0.109,0.779,0.254,421,
9982,0.124,0.758,0.128,423,
9983,0.112,0.756,0.246,425,
9984,0.119,0.733,0.240,428,
9985,0.123,0.803,0.266,430,
9986,0.117,0.732,0.174,432,
9987,0.126,0.737,0.179,434,
9988,0.109,0.757,0.215,437,
9989,0.114,0.739,0.182,439,
9990,0.106,0.746,0.232,441,
9991,0.121,0.759,0.195,444,
9992,0.119,0.727,0.175,446,
9993,0.102,0.783,0.158,448,
9994,0.109,0.746,0.152,450,
9995,0.123,0.742,0.168,453,
9996,0.117,0.716,0.178,455,
9997,0.109,0.741,0.193,457,
9998,0.138,0.704,0.174,460,
9999,0.128,0.706,0.197,462,
10000,0.123,0.774,0.200,464,
10001,0.109,0.741,0.150,466,
10002,0.121,0.763,0.169,469,
10003,0.134,0.704,0.263,471,
10004,0.124,0.706,0.179,473,
10005,0.126,0.738,0.155,476,
10006,0.105,0.770,0.228,478,
10007,0.116,0.731,0.171,480,
10008,0.130,0.744,0.197,482,
10009,0.109,0.740,0.188,485,
10010,0.122,0.728,0.158,487,
10011,0.117,0.759,0.161,489,
10012,0.134,0.761,0.183,492,
10013,0.106,0.770,0.190,494,
10014,0.104,0.736,0.220,496,
10015,0.129,0.708,0.188,498,
10016,0.117,0.740,0.207,501,
10017,0.128,0.744,0.282,503,
10018,0.123,0.737,0.192,505,
10019,0.111,0.773,0.233,508,
10020,0.115,0.722,0.159,510,
10021,0.119,0.694,0.172,512,
10022,0.126,0.754,0.156,514,
10023,0.112,0.741,0.169,517,
10024,0.125,0.753,0.211,519,
10025,0.124,0.735,0.193,521,
10026,0.127,0.784,0.174,524,
10027,0.120,0.763,0.297,526,
