nohup: ignoring input
Loading files from: ../data/training_set/*/*.jpg
Image Shape: (256, 256, 3) | Generator Latent Dimension: 300 | Discriminator Latent Dimension: 200
WARNING:tensorflow:No training configuration found in save file, so the model was *not* compiled. Compile it manually.
Starting Training:
7351,0.195,0.156,0.254,14,
7352,0.168,0.137,3.479,16,
7353,0.182,0.128,0.376,18,
7354,0.188,0.098,1.118,20,
7355,0.160,0.157,2.424,23,
7356,0.186,0.122,1.105,25,
7357,0.207,0.143,0.407,27,
7358,0.180,0.126,0.998,30,
7359,0.185,0.140,0.862,32,
7360,0.159,0.147,0.479,34,
7361,0.215,0.153,0.879,36,
7362,0.186,0.140,0.470,39,
7363,0.185,0.119,0.289,41,
7364,0.248,0.129,0.277,43,
7365,0.208,0.147,0.311,46,
7366,0.197,0.145,0.311,48,
7367,0.178,0.130,0.306,50,
7368,0.195,0.149,0.300,52,
7369,0.173,0.139,0.328,55,
7370,0.172,0.168,0.294,57,
7371,0.226,0.144,0.291,59,
7372,0.196,0.094,0.279,62,
7373,0.164,0.175,0.309,64,
7374,0.204,0.135,0.363,66,
7375,0.206,0.151,0.300,69,
7376,0.223,0.126,0.325,71,
7377,0.182,0.171,0.293,73,
7378,0.194,0.124,0.331,76,
7379,0.187,0.138,0.324,78,
7380,0.139,0.145,0.328,80,
7381,0.220,0.098,0.304,83,
7382,0.192,0.170,0.322,85,
7383,0.170,0.228,0.302,87,
7384,0.159,0.124,0.316,90,
7385,0.197,0.154,0.243,92,
7386,0.189,0.124,0.283,94,
7387,0.188,0.150,0.241,96,
7388,0.194,0.153,0.283,99,
7389,0.201,0.138,0.285,101,
7390,0.180,0.151,0.270,103,
7391,0.188,0.128,0.294,106,
7392,0.209,0.122,0.261,108,
7393,0.210,0.118,0.240,110,
7394,0.184,0.129,0.257,113,
7395,0.204,0.140,0.235,115,
7396,0.200,0.170,0.290,117,
7397,0.181,0.126,0.294,120,
7398,0.202,0.173,0.226,122,
7399,0.203,0.156,0.297,124,
7400,0.126,0.143,0.273,126,
7401,0.200,0.139,0.268,129,
7402,0.192,0.123,0.243,131,
7403,0.172,0.128,0.262,133,
7404,0.313,0.160,0.290,136,
7405,0.179,0.126,0.326,138,
7406,0.165,0.151,0.300,140,
7407,0.177,0.133,0.300,143,
7408,0.199,0.132,0.325,145,
7409,0.172,0.120,0.302,147,
7410,0.213,0.139,0.263,150,
7411,0.142,0.191,0.279,152,
7412,0.205,0.177,0.277,154,
7413,0.195,0.111,0.304,157,
7414,0.196,0.138,0.233,159,
7415,0.173,0.129,0.273,161,
7416,0.200,0.175,0.304,163,
7417,0.178,0.166,0.238,166,
7418,0.179,0.180,0.222,168,
7419,0.201,0.131,0.309,170,
7420,0.197,0.124,0.278,173,
7421,0.175,0.146,0.257,175,
7422,0.185,0.170,0.341,177,
