nohup: ignoring input
Loading files from: ../data/training_set/*/*.jpg
Image Shape: (256, 256, 3) | Generator Latent Dimension: 200 | Discriminator Latent Dimension: 20
Starting Training:
1,1.064,57.666, 0.623,27,
2,1.079,0.421, 0.750,31,
3,1.339,0.160, 0.691,36,
4,0.301,0.428, 0.668,40,
5,0.167,0.316, 0.720,45,
6,0.226,0.141, 0.732,49,
7,0.267,0.156, 0.671,53,
8,0.175,0.143, 0.605,58,
9,0.117,0.123, 0.569,62,
10,0.100,0.114, 0.551,67,
11,0.122,0.090, 0.533,71,
12,0.132,0.077, 0.472,75,
13,0.124,0.079, 0.426,80,
14,0.111,0.118, 0.383,84,
15,0.125,0.111, 0.383,89,
16,0.113,0.091, 0.379,93,
17,0.120,0.089, 0.335,97,
18,0.089,0.092, 0.291,102,
19,0.112,0.135, 0.281,106,
20,0.092,0.094, 0.272,110,
21,0.126,0.089, 0.240,115,
22,0.088,0.099, 0.200,119,
23,0.101,0.085, 0.170,124,
24,0.119,0.114, 0.177,128,
25,0.074,0.111, 0.185,132,
26,0.109,0.088, 0.178,137,
27,0.102,0.074, 0.166,141,
28,0.086,0.091, 0.169,146,
29,0.109,0.098, 0.162,150,
30,0.116,0.085, 0.150,154,
31,0.121,0.095, 0.134,159,
32,0.117,0.108, 0.110,163,
33,0.091,0.086, 0.105,167,
34,0.078,0.105, 0.105,172,
35,0.084,0.089, 0.102,176,
36,0.108,0.081, 0.106,180,
37,0.091,0.078, 0.112,185,
38,0.105,0.071, 0.102,189,
39,0.075,0.076, 0.077,193,
40,0.084,0.089, 0.086,198,
41,0.106,0.107, 0.080,202,
42,0.089,0.083, 0.070,206,
43,0.124,0.099, 0.073,211,
44,0.073,0.090, 0.088,215,
45,0.116,0.095, 0.089,219,
46,0.122,0.084, 0.083,224,
47,0.105,0.099, 0.075,228,
48,0.092,0.095, 0.083,232,
49,0.087,0.084, 0.081,237,
50,0.129,0.094, 0.067,241,
51,0.080,0.070, 0.078,245,
52,0.109,0.080, 0.080,250,
53,0.102,0.077, 0.080,254,
54,0.084,0.086, 0.077,258,
55,0.096,0.083, 0.075,263,
56,0.083,0.088, 0.081,267,
57,0.085,0.079, 0.072,271,
58,0.075,0.084, 0.066,275,
59,0.100,0.096, 0.077,280,
60,0.082,0.085, 0.072,284,
61,0.082,0.078, 0.075,288,
62,0.097,0.082, 0.088,293,
63,0.095,0.077, 0.098,297,
64,0.096,0.087, 0.086,301,
65,0.077,0.088, 0.086,305,
66,0.096,0.086, 0.080,310,
67,0.084,0.094, 0.073,314,
68,0.097,0.098, 0.116,318,
69,0.110,0.083, 0.120,323,
70,0.101,0.084, 0.066,327,
71,0.098,0.080, 0.086,331,
72,0.099,0.073, 0.073,335,
73,0.108,0.089, 0.078,340,
74,0.080,0.078, 0.069,344,
75,0.080,0.081, 0.087,348,
76,0.084,0.069, 0.086,353,
77,0.105,0.071, 0.089,357,
78,0.107,0.073, 0.073,361,
79,0.092,0.089, 0.076,366,
80,0.109,0.073, 0.084,370,
81,0.084,0.092, 0.080,374,
82,0.086,0.067, 0.070,378,
83,0.095,0.075, 0.078,383,
84,0.077,0.074, 0.070,387,
85,0.078,0.069, 0.077,391,
86,0.084,0.079, 0.075,396,
87,0.084,0.092, 0.079,400,
88,0.078,0.078, 0.067,404,
89,0.077,0.088, 0.071,408,
90,0.069,0.083, 0.068,413,
91,0.110,0.082, 0.089,417,
92,0.088,0.090, 0.084,421,
93,0.087,0.071, 0.083,426,
94,0.093,0.063, 0.081,430,
95,0.073,0.075, 0.059,434,
WARNING:tensorflow:From /home/ec2-user/anaconda3/envs/tensorflow2_p36/lib/python3.6/site-packages/tensorflow/python/ops/resource_variable_ops.py:1817: calling BaseResourceVariable.__init__ (from tensorflow.python.ops.resource_variable_ops) with constraint is deprecated and will be removed in a future version.
Instructions for updating:
If using Keras pass *_constraint arguments to layers.
96,0.092,0.085, 0.077,446,
97,0.086,0.078, 0.078,450,
98,0.072,0.074, 0.081,455,
99,0.087,0.083, 0.078,459,
100,0.087,0.077, 0.083,463,
101,0.081,0.076, 0.079,468,
102,0.082,0.081, 0.073,472,
103,0.093,0.080, 0.080,476,
104,0.081,0.083, 0.080,480,
105,0.090,0.077, 0.079,485,
106,0.099,0.075, 0.090,489,
107,0.096,0.082, 0.089,493,
108,0.115,0.073, 0.085,498,
109,0.089,0.066, 0.067,502,
110,0.100,0.071, 0.077,506,
111,0.060,0.079, 0.060,510,
112,0.079,0.080, 0.072,515,
113,0.079,0.068, 0.068,519,
114,0.094,0.091, 0.082,523,
115,0.104,0.095, 0.069,527,
116,0.083,0.094, 0.079,532,
117,0.098,0.077, 0.086,536,
118,0.084,0.093, 0.068,540,
119,0.086,0.081, 0.087,545,
120,0.094,0.074, 0.089,549,
121,0.073,0.083, 0.080,553,
122,0.108,0.090, 0.088,557,
123,0.087,0.081, 0.080,562,
124,0.074,0.095, 0.069,566,
125,0.092,0.060, 0.081,570,
126,0.088,0.074, 0.084,575,
127,0.080,0.073, 0.074,579,
128,0.086,0.067, 0.082,583,
129,0.087,0.078, 0.075,587,
130,0.086,0.070, 0.079,592,
131,0.080,0.084, 0.076,596,
132,0.070,0.073, 0.069,600,
133,0.082,0.095, 0.076,605,
134,0.062,0.073, 0.057,609,
135,0.085,0.086, 0.078,613,
136,0.068,0.071, 0.058,617,
137,0.082,0.070, 0.078,622,
138,0.093,0.096, 0.080,626,
139,0.079,0.076, 0.071,630,
140,0.095,0.072, 0.078,634,
141,0.085,0.082, 0.081,639,
142,0.087,0.090, 0.078,643,
143,0.080,0.094, 0.067,647,
144,0.083,0.075, 0.077,652,
145,0.074,0.079, 0.072,656,
146,0.081,0.084, 0.068,660,
147,0.080,0.084, 0.067,664,
148,0.084,0.076, 0.079,669,
149,0.088,0.072, 0.078,673,
150,0.067,0.078, 0.069,677,
151,0.065,0.074, 0.058,682,
152,0.095,0.084, 0.080,686,
153,0.069,0.096, 0.069,690,
154,0.071,0.077, 0.076,695,
155,0.100,0.066, 0.084,699,
156,0.086,0.088, 0.062,703,
157,0.070,0.083, 0.069,707,
158,0.081,0.080, 0.078,712,
159,0.083,0.068, 0.081,716,
160,0.086,0.074, 0.090,720,
161,0.081,0.079, 0.097,724,
162,0.086,0.085, 0.089,729,
