nohup: ignoring input
Loading files from: ../data/training_set/*/*.jpg
Image Shape: (256, 256, 3) | Generator Latent Dimension: 200 | Discriminator Latent Dimension: 20
WARNING:tensorflow:No training configuration found in save file, so the model was *not* compiled. Compile it manually.
Starting Training:
1,0.282,0.131,0.355,12,
2,0.279,0.137,0.442,14,
3,0.280,0.129,0.341,16,
4,0.280,0.128,0.272,18,
5,0.276,0.129,0.302,20,
6,0.270,0.130,0.310,22,
7,0.270,0.144,0.281,24,
8,0.283,0.131,0.534,26,
9,0.279,0.130,0.355,28,
10,0.280,0.138,0.266,30,
11,0.277,0.154,0.343,31,
12,0.278,0.141,0.529,33,
13,0.289,0.152,0.246,35,
14,0.278,0.150,0.351,37,
15,0.266,0.156,0.369,39,
16,0.292,0.153,0.225,41,
17,0.270,0.148,0.267,43,
18,0.270,0.172,0.297,45,
19,0.266,0.149,0.322,47,
20,0.274,0.161,0.250,49,
21,0.287,0.144,0.228,51,
22,0.280,0.146,0.225,53,
23,0.264,0.164,0.303,55,
24,0.272,0.154,0.320,57,
25,0.266,0.155,0.388,59,
26,0.271,0.157,0.220,61,
27,0.287,0.165,0.184,63,
28,0.277,0.159,0.272,65,
29,0.288,0.162,0.285,66,
30,0.275,0.178,0.290,68,
31,0.263,0.178,0.283,70,
32,0.256,0.183,0.250,72,
33,0.278,0.178,0.235,74,
34,0.274,0.184,0.236,76,
35,0.269,0.193,0.239,78,
36,0.291,0.184,0.237,80,
37,0.274,0.185,0.301,82,
38,0.256,0.209,0.417,84,
39,0.270,0.202,0.304,86,
40,0.280,0.186,0.356,88,
41,0.277,0.197,0.293,90,
42,0.261,0.206,0.270,92,
43,0.270,0.213,0.350,94,
44,0.290,0.209,0.190,96,
45,0.268,0.215,0.274,98,
46,0.284,0.194,0.227,100,
47,0.277,0.193,0.251,102,
48,0.276,0.203,0.243,104,
49,0.292,0.202,0.207,106,
50,0.267,0.197,0.244,108,
51,0.277,0.197,0.321,110,
52,0.307,0.215,0.423,112,
53,0.272,0.222,0.232,114,
54,0.277,0.207,0.260,116,
55,0.281,0.193,0.251,118,
56,0.272,0.209,0.360,120,
57,0.274,0.210,0.227,122,
58,0.274,0.213,0.297,124,
59,0.272,0.192,0.229,125,
60,0.280,0.208,0.249,127,
61,0.275,0.198,0.289,129,
62,0.268,0.201,0.244,131,
63,0.286,0.189,0.269,133,
64,0.285,0.175,0.234,135,
65,0.279,0.179,0.352,137,
66,0.273,0.200,0.282,139,
